0;1
0;2
0;3
0;4
0;5
0;6
0;7
0;8
0;9
0;10
0.0692948802;11
0.0346474401;12
0.0692948802;13
0.0346474401;14
0.0692948802;15
0.0692948802;16
0.1385897603;17
0.1039423203;18
0.0692948802;19
0.0692948802;20
0.1385897603;21
0.0346474401;22
0.1385897603;23
0.2425320806;24
0.1732372004;25
0.2771795207;26
0.3118269608;27
0.2425320806;28
0.1732372004;29
0.1732372004;30
0.1039423203;31
0.3464744009;32
0.5197116013;33
0.5197116013;34
0.5197116013;35
0.2425320806;36
0.3118269608;37
0.3464744009;38
0.5197116013;39
0.5197116013;40
0.6236539215;41
0.796891122;42
0.3811218409;43
0.6583013616;44
0.7275962418;45
0.6583013616;46
0.7622436819;47
1.0394232026;48
0.7275962418;49
0.6236539215;50
